Club,Boat Type,Sub Category,Rank,Event
OXFORD BROOKES UNIVERSITY A,8+,A,1,HORR 2018
LEANDER A,8+,C,1,HORR 2018
OXFORD BROOKES UNIVERSITY B,8+,A,3,HORR 2018
LEANDER C,8+,C,4,HORR 2018
OXFORD BROOKES UNIVERSITY C,8+,A,5,HORR 2018
UNIVERSITY OF LONDON A,8+,A,6,HORR 2018
THAMES A,8+,C,7,HORR 2018
MOLESEY A,8+,C,8,HORR 2018
IMPERIAL COLLEGE A,8+,A,9,HORR 2018
EDINBURGH UNIVERSITY A,8+,A,10,HORR 2018
OXFORD BROOKES UNIVERSITY D,8+,A,11,HORR 2018
CVK PRAHA (CZECH REPUBLIC),8+,-,12,HORR 2018
SC CEREA (ITALY),8+,-,13,HORR 2018
TIDEWAY SCULLERS SCHOOL A,8+,C,14,HORR 2018
NEWCASTLE UNIVERSITY A,8+,A,15,HORR 2018
LEANDER B,8+,C,16,HORR 2018
OXFORD BROOKES UNIVERSITY E,8+,A,17,HORR 2018
DURHAM UNIVERSITY A,8+,A,18,HORR 2018
THAMES B,8+,C,19,HORR 2018
UNIVERSITY OF LONDON B,8+,A,20,HORR 2018
AGECROFT A,8+,C,21,HORR 2018
NEWCASTLE UNIVERSITY B,8+,A,22,HORR 2018
TYNE AMATEUR A,8+,C,23,HORR 2018
MOLESEY B,8+,C,24,HORR 2018
TIDEWAY SCULLERS SCHOOL B,8+,C,25,HORR 2018
KINGSTON RC A,8+,C,26,HORR 2018
STUTTGARTER 1899 (GERMANY),8+,-,27,HORR 2018
THAMES C,8+,C,28,HORR 2018
NEWCASTLE UNIVERSITY D,8+,A,29,HORR 2018
CUS PAVIA (ITALY),8+,-,30,HORR 2018
BONNER (GERMANY),8+,-,31,HORR 2018
CORK (IRELAND),8+,-,32,HORR 2018
NEWCASTLE UNIVERSITY C,8+,A,33,HORR 2018
OXFORD BROOKES UNIVERSITY F,8+,A,34,HORR 2018
LEA A,8+,C,35,HORR 2018
MOLESEY C,8+,C,36,HORR 2018
THAMES D,8+,C,37,HORR 2018
UNIVERSITY OF BRISTOL A,8+,A,38,HORR 2018
GLASGOW UNIVERSITY A,8+,A,39,HORR 2018
UPPER THAMES A,8+,C,40,HORR 2018
DURHAM UNIVERSITY B,8+,A,41,HORR 2018
ROYAL SHREWSBURY SCHOOL A,8+,A,42,HORR 2018
AGECROFT B,8+,C,43,HORR 2018
WORCESTER A,8+,C,44,HORR 2018
AGECROFT C,8+,C,45,HORR 2018
CREFELDER (GERMANY),8+,-,46,HORR 2018
LONDON A,8+,C,47,HORR 2018
NOTTINGHAM A,8+,C,48,HORR 2018
ROYAL CHESTER A,8+,C,49,HORR 2018
PEMBROKE COLLEGE CAMBRIDGE,8+,A,50,HORR 2018
TIDEWAY SCULLERS SCHOOL C,8+,C,51,HORR 2018
BAYER LEVERKUSEN (GERMANY),8+,-,52,HORR 2018
UNIVERSITY OF LONDON C,8+,A,53,HORR 2018
EDINBURGH UNIVERSITY B,8+,A,54,HORR 2018
ELIZABETHAN,8+,C,55,HORR 2018
GLASGOW UNIVERSITY B,8+,A,56,HORR 2018
BATH UNIVERSITY A,8+,A,57,HORR 2018
BATH UNIVERSITY B,8+,A,58,HORR 2018
CITY OF BRISTOL A,8+,C,59,HORR 2018
ITCHEN IMPERIAL,8+,C,60,HORR 2018
IMPERIAL COLLEGE B,8+,A,61,HORR 2018
NOTTINGHAM UNIVERSITY A,8+,A,62,HORR 2018
CURLEW A,8+,C,63,HORR 2018
NOTTINGHAM UNIVERSITY B,8+,A,64,HORR 2018
QUEENS UNIVERSITY BELFAST (IRELAND) A,8+,-,65,HORR 2018
CITY OF OXFORD,8+,C,66,HORR 2018
LEEDS A,8+,C,67,HORR 2018
VESTA F,8+,C,68,HORR 2018
CLUB D'AVIRON VEVEY (SWITZERLAND) A,8+,-,69,HORR 2018
STRATFORD-UPON-AVON,8+,C,70,HORR 2018
KINGSTON B,8+,C,71,HORR 2018
REAL MEDITERRANEO (SPAIN),8+,-,72,HORR 2018
TRINITY HALL CAMBRIDGE A,8+,A,73,HORR 2018
EXETER UNIVERSITY A,8+,A,74,HORR 2018
SHEFFIELD UNIVERSITY A,8+,A,75,HORR 2018
CHRIST CHURCH OXFORD,8+,A,76,HORR 2018
CAMBRIDGE 99 C,8+,C,77,HORR 2018
ST EDMUND HALL OXFORD,8+,A,78,HORR 2018
WARWICK UNIVERSITY A,8+,A,79,HORR 2018
MONMOUTH,8+,C,80,HORR 2018
LEEDS UNIVERSITY A,8+,A,81,HORR 2018
QUINTIN B,8+,C,82,HORR 2018
BEXHILL,8+,C,83,HORR 2018
UNIVERSITY OF THE WEST OF ENGLAND A,8+,A,84,HORR 2018
SWANSEA UNIVERSITY,8+,A,85,HORR 2018
HERIOT-WATT UNIVERSITY A,8+,A,86,HORR 2018
UPPER THAMES B,8+,C,87,HORR 2018
VESTA A,8+,C,88,HORR 2018
LEA B,8+,C,89,HORR 2018
NEWCASTLE UNIVERSITY E,8+,A,90,HORR 2018
EXETER UNIVERSITY B,8+,A,91,HORR 2018
SC ZUG (SWITZERLAND) A,8+,-,92,HORR 2018
SOUTHAMPTON UNIVERSITY A,8+,A,93,HORR 2018
ROBINSON COLLEGE CAMBRIDGE,8+,A,94,HORR 2018
SC ZUG (SWITZERLAND) B,8+,-,95,HORR 2018
STRATHCLYDE UNIVERSITY A,8+,A,96,HORR 2018
THAMES E,8+,C,97,HORR 2018
UNIVERSITY OF LONDON D,8+,A,98,HORR 2018
EXETER A,8+,C,99,HORR 2018
ARDINGLY,8+,C,100,HORR 2018
YORK UNIVERSITY A,8+,A,101,HORR 2018
ROYAL NAVY & ROYAL MARINES A,8+,C,102,HORR 2018
ROYAL SHREWSBURY SCHOOL B,8+,A,103,HORR 2018
ROYAL CHESTER B,8+,C,104,HORR 2018
COLLINGWOOD COLLEGE DURHAM A,8+,A,105,HORR 2018
MAIDSTONE INVICTA A,8+,C,106,HORR 2018
DOWNING COLLEGE CAMBRIDGE,8+,A,107,HORR 2018
EDINBURGH UNIVERSITY C,8+,A,108,HORR 2018
WALLINGFORD B,8+,C,109,HORR 2018
WALLINGFORD A,8+,C,110,HORR 2018
IMPERIAL COLLEGE C,8+,A,111,HORR 2018
BROXBOURNE A,8+,C,112,HORR 2018
BRIDGNORTH A,8+,C,113,HORR 2018
SABRINA,8+,C,114,HORR 2018
LAUSANNE RC (SWITZERLAND),8+,-,115,HORR 2018
LLANDAFF,8+,C,116,HORR 2018
ST BARTHOLOMEW'S & THE ROYAL LONDON HOSPITAL A,8+,A,117,HORR 2018
UNIVERSITY OF THE WEST OF ENGLAND B,8+,A,118,HORR 2018
MERTON COLLEGE OXFORD,8+,A,119,HORR 2018
ST ANDREW,8+,C,120,HORR 2018
NOTTINGHAM B,8+,C,121,HORR 2018
TRINITY COLLEGE OXFORD,8+,A,122,HORR 2018
CHRISTCHURCH,8+,C,123,HORR 2018
YORK CITY B,8+,C,124,HORR 2018
UNIVERSITY OF BRISTOL B,8+,A,125,HORR 2018
CANTABRIGIAN A,8+,C,126,HORR 2018
AURIOL KENSINGTON A,8+,C,127,HORR 2018
LEICESTER UNIVERSITY A,8+,A,128,HORR 2018
LONDON B,8+,C,129,HORR 2018
THE UNIVERSITY OF MANCHESTER A,8+,A,130,HORR 2018
HATFIELD COLLEGE DURHAM,8+,A,131,HORR 2018
MARLOW A,8+,C,132,HORR 2018
ABERDEEN UNIVERSITY,8+,A,133,HORR 2018
CURLEW B,8+,C,134,HORR 2018
CLARE CAMBRIDGE,8+,A,135,HORR 2018
CITY OF CARDIFF,8+,C,136,HORR 2018
NEWARK,8+,C,137,HORR 2018
BEDFORD,8+,C,138,HORR 2018
YORK CITY A,8+,C,139,HORR 2018
MAGDALENE CAMBRIDGE,8+,A,140,HORR 2018
LADY MARGARET HALL OXFORD,8+,A,141,HORR 2018
PUTNEY TOWN A,8+,C,142,HORR 2018
BERLINER RC (GERMANY),8+,-,143,HORR 2018
MILTON KEYNES,8+,C,144,HORR 2018
THE 1884 CLUB,8+,C,145,HORR 2018
WARWICK,8+,C,146,HORR 2018
WARWICK UNIVERSITY B,8+,-,147,HORR 2018
KINGS COLLEGE LONDON A,8+,A,148,HORR 2018
ST ANDREWS UNIVERSITY,8+,A,149,HORR 2018
HSBC,8+,C,150,HORR 2018
UNIVERSITY COLLEGE LONDON A,8+,A,151,HORR 2018
COLDHARBOUR,8+,C,152,HORR 2018
UNIVERSITY OF EAST ANGLIA A,8+,A,153,HORR 2018
LONDON C,8+,C,154,HORR 2018
FITZWILLIAM COLLEGE CAMBRIDGE,8+,A,155,HORR 2018
TYNE AMATEUR B,8+,C,156,HORR 2018
MINERVA BATH,8+,C,157,HORR 2018
CITY OF CAMBRIDGE A,8+,C,158,HORR 2018
LIVERPOOL UNIVERSITY A,8+,A,159,HORR 2018
CARDIFF UNIVERSITY A,8+,A,160,HORR 2018
YORK UNIVERSITY B,8+,A,161,HORR 2018
ST CUTHBERTS SOCIETY DURHAM A,8+,A,162,HORR 2018
CAIUS CAMBRIDGE,8+,A,163,HORR 2018
SA FRIBOURG (SWITZERLAND),8+,-,164,HORR 2018
WORCESTER COLLEGE OXFORD,8+,A,165,HORR 2018
FIRST AND THIRD TRINITY CAMBRIDGE A,8+,A,166,HORR 2018
VAN MILDERT COLLEGE DURHAM,8+,A,167,HORR 2018
CITY OF BRISTOL B,8+,C,168,HORR 2018
QUEENS UNIVERSITY BELFAST (IRELAND) B,8+,-,169,HORR 2018
ORIEL COLLEGE OXFORD,8+,A,170,HORR 2018
VESTA D,8+,C,171,HORR 2018
LINCOLN ROWING CENTRE,8+,C,172,HORR 2018
SHEFFIELD UNIVERSITY C,8+,A,173,HORR 2018
CORPUS CHRISTI COLLEGE CAMBRIDGE,8+,A,174,HORR 2018
EMMANUEL CAMBRIDGE A,8+,A,175,HORR 2018
HENLEY,8+,C,176,HORR 2018
WEYBRIDGE,8+,C,177,HORR 2018
LEA C,8+,C,178,HORR 2018
HERIOT-WATT UNIVERSITY B,8+,A,179,HORR 2018
CAMBRIDGE 99 B,8+,C,180,HORR 2018
MAIDSTONE INVICTA B,8+,C,181,HORR 2018
ROB ROY,8+,C,182,HORR 2018
CHESTERTON,8+,C,183,HORR 2018
ST CATHARINES COLLEGE CAMBRIDGE,8+,A,184,HORR 2018
CANOTTIERI CAGLIARI (ITALY),8+,-,185,HORR 2018
UNIVERSITY COLLEGE DURHAM A,8+,A,186,HORR 2018
DURHAM UNIVERSITY C,8+,A,187,HORR 2018
LEA D,8+,C,188,HORR 2018
ROYAL AIR FORCE A,8+,C,189,HORR 2018
CLUB D'AVIRON VEVEY (SWITZERLAND) B,8+,-,190,HORR 2018
THAMES F,8+,C,191,HORR 2018
BEWDLEY,8+,C,192,HORR 2018
IMPERIAL COLLEGE D,8+,A,193,HORR 2018
HUGHES HALL CAMBRIDGE,8+,A,194,HORR 2018
